pjX｜学習項目一覧（到達レベル付き）							
							
No	ジャンル	レベル	到達レベル	項目	概要・内容	優先度	備考
28	ビジネス	横断	L1｜現場に出せる	当事者意識	顧客の課題を自分の課題として捉える（心構え）		
29	ビジネス	横断	L1｜現場に出せる	やり切る力	難しい局面でも結論まで持っていく（心構え）		
30	ビジネス	横断	L1｜現場に出せる	知的誠実さ	分からないことをごまかさず、都合の悪い事実も伝える（心構え）		
31	ビジネス	横断	L1｜現場に出せる	顧客第一	時間あたりで価値を出している自覚（心構え）		
32	要件定義・プロダクト設計	レベル2	L1｜現場に出せる	業務フローの理解	顧客の仕事の流れ（誰が・何を・どの順で行うか）を理解する		
33	要件定義・プロダクト設計	レベル3	L1｜現場に出せる	業務フローの図解	仕事の流れを図にして、関係者と認識をそろえる		
34	要件定義・プロダクト設計	レベル3	L1｜現場に出せる	要求の整理	顧客のばらばらな要望を集めて整理する		
35	要件定義・プロダクト設計	レベル4	L2｜中堅コンサル	価値ある課題への昇華	要望を、事業の価値につながる「解くべき課題」にまとめ直す		
36	要件定義・プロダクト設計	レベル4	L2｜中堅コンサル	要件定義	課題を、満たすべき条件（要件）に落とす		
37	要件定義・プロダクト設計	レベル4	L2｜中堅コンサル	仕様への落とし込み	要件を、作れる形（仕様）に具体化する		
38	要件定義・プロダクト設計	レベル5	L2｜中堅コンサル	開発計画の立案	仕様をもとに、進め方・順番・段取りを計画する		
39	エンジニア	レベル1	L1｜現場に出せる	基本情報（IT基礎）	ネットワーク・OS・DB・セキュリティ等のIT基礎を広く浅く		
40	エンジニア	レベル1	L1｜現場に出せる	開発環境とコマンドライン	エディタ・ターミナル・実行環境を用意して動かす		【追加】基礎
41	エンジニア	レベル1	L1｜現場に出せる	変数とデータ型	数値・文字列・真偽値などの型と変数を扱う		【追加】基礎
42	エンジニア	レベル1	L1｜現場に出せる	演算子と式	四則・比較・論理などの演算で値を組み立てる		【追加】基礎
43	エンジニア	レベル1	L1｜現場に出せる	条件分岐	if/else・論理演算で処理を分ける		【追加】基礎
44	エンジニア	レベル1	L1｜現場に出せる	繰り返し（ループ）	for/whileで反復処理を書く		【追加】基礎
45	エンジニア	レベル1	L1｜現場に出せる	配列・リスト	複数の値をまとめて扱う		【追加】基礎
46	エンジニア	レベル1	L1｜現場に出せる	連想配列・オブジェクト	キーと値の組でデータを扱う		【追加】基礎
47	エンジニア	レベル1	L1｜現場に出せる	関数	処理をまとめ、引数と戻り値で再利用する		【追加】基礎
48	エンジニア	レベル1	L1｜現場に出せる	文字列操作	文字列の検索・置換・分割・整形を行う		【追加】基礎
49	エンジニア	レベル1	L1｜現場に出せる	例外・エラー処理	エラーを捕まえて適切に処理する		【追加】基礎
50	エンジニア	レベル1	L1｜現場に出せる	CRUD	DBに対し作成・取得・更新・削除をSQLで書く		
51	エンジニア	レベル1	L1｜現場に出せる	ソート（並べ替え）	代表的な並べ替えの仕組みと計算量		
52	エンジニア	レベル1	L1｜現場に出せる	言語ごとの特性	型・実行方式など言語の違いを理解する		
53	エンジニア	レベル1	L1｜現場に出せる	画面まわり・DBの基礎	フロント/サーバ/DBの役割とCRUD画面		
54	エンジニア	レベル1	L1｜現場に出せる	バージョン管理（Git）	コードの変更履歴を管理し、チームで開発する		【追加】
55	エンジニア	レベル2	L1｜現場に出せる	既存コード・システムの読解	今あるコードを読んで、構造と役割を把握する		【追加】
56	エンジニア	レベル2	L1｜現場に出せる	不具合の切り分け・調査（デバッグ）	不具合の原因を切り分けて調べ、直す		【追加】
57	エンジニア	レベル2	L1｜現場に出せる	テスト／品質保証	テストコード、仕様を言葉にする、テストの手順		
58	エンジニア	レベル2	L1｜現場に出せる	レビュー	AIが書いたコードの誤りを見抜く、読み・確認の力		
59	エンジニア	レベル2	L1｜現場に出せる	既存ルールの順守	途中参加でも、案件のルールを守れる		
60	エンジニア	レベル2	L1｜現場に出せる	開発全体の肌感覚	開発の流れ全体の感覚を持つ		
61	エンジニア	レベル2	L1｜現場に出せる	セキュリティ（考え方）	セキュリティの考え方を理解する		
62	エンジニア	レベル2	L1｜現場に出せる	ハーネス	（要確認：テストの足場づくり等の意か）		判読・意図を要確認
63	エンジニア	レベル3	L1｜現場に出せる	AI開発	AIを活用した開発		
64	エンジニア	レベル3	L1｜現場に出せる	コーディング向けプロンプト	文脈・制約・期待する出力を伝え、反復して精度を上げる		【追加】AI活用
65	エンジニア	レベル3	L1｜現場に出せる	AIコーディングツールの使い分け	補完・チャット・エージェントを場面で使い分ける		【追加】AI活用
66	エンジニア	レベル3	L1｜現場に出せる	AIエージェント開発（Claude Code・Codex 等）	タスクを渡し、計画→編集→実行→差分確認→反復で開発する		【追加】AI活用
67	エンジニア	レベル3	L1｜現場に出せる	AIへのコンテキスト設計	規約・CLAUDE.md/AGENTS.md・参照でAIに前提を与える		【追加】AI活用
68	エンジニア	レベル3	L2｜中堅コンサル	仕様駆動でAIに実装させる	仕様・計画を先に書き、段階的に実装・検証させる		【追加】AI活用
69	エンジニア	レベル3	L1｜現場に出せる	AIでのテスト・リファクタ・デバッグ	テスト生成・リファクタ・バグ調査をAIで進める		【追加】AI活用
70	エンジニア	レベル3	L1｜現場に出せる	AI出力の検証	動作確認・テスト・仕様照合で生成物の正しさを確かめる		【追加】AI活用
71	エンジニア	レベル3	L1｜現場に出せる	大規模言語モデル（LLM）	LLMの理解と活用		
72	エンジニア	レベル3	L1｜現場に出せる	AIの知識	AI全般の知識（複数の分野）		
73	エンジニア	レベル3	L2｜中堅コンサル	自動化・エージェント	自動化や、自律的に動くAIの設計と活用		
74	エンジニア	レベル3	L1｜現場に出せる	AIのコスト管理	AIの利用量・利用料を意識した開発		
75	エンジニア	レベル3	L2｜中堅コンサル	API・外部サービス連携	外部のサービスやAPIとつないで機能を作る		【追加】
76	エンジニア	レベル4	L2｜中堅コンサル	データモデリング・DB設計	扱うデータを整理し、規模に応じてテーブルを設計する		【追加】
77	エンジニア	レベル4	L2｜中堅コンサル	システム設計（アーキテクチャ）	システム全体の構成を自分で設計する		【追加】
78	エンジニア	レベル4	L2｜中堅コンサル	システム構成 × AI	システム設計とAIの相性を理解する		
79	エンジニア	レベル4	L2｜中堅コンサル	クラウド・デプロイ／運用	クラウドに公開し、動かし続ける（デプロイ・運用）		【追加】
80	エンジニア	レベル4	L2｜中堅コンサル	インフラ	基礎的なインフラの知識		
81	エンジニア	レベル4	L2｜中堅コンサル	ひと通りの開発	インフラから画面まで、全体を通して作れる		
82	エンジニア	レベル4	L2｜中堅コンサル	デザインのしくみ	チーム共通のルールとしての、デザイン部品・しくみの考え方		
83	エンジニア	レベル4	L3｜ベイカレント級	DDD × AI	ドメイン駆動設計の考え方（完全な実装までは不要）		ベイカレント級／温度差あり
84	エンジニア	レベル4	L3｜ベイカレント級	非機能要件（性能・安全・可用性）	性能・安全性・止まらない仕組みなどを要件として設計に反映する		【追加】ベイカレント級
85	エンジニア	レベル4	L3｜ベイカレント級	セキュリティ設計・実装	セキュリティを設計と実装に落とし込む		【追加】ベイカレント級
86	エンジニア	レベル4	L3｜ベイカレント級	大規模・複雑なシステムの読解・改善	大規模・複雑なコードを読み解き、改善を提案する		【追加】ベイカレント級
87	エンジニア	横断	L1｜現場に出せる	最新技術のキャッチアップ	最新技術を追いかけて情報を集めるしくみ		ニュース配信のしくみを検討
88	AIエンジニアリング（応用）	レベル3	L1｜現場に出せる	SDD（仕様駆動開発）の全体像	仕様→設計→タスク→実装→検証の流れでAIと開発する		【応用】SDD
89	AIエンジニアリング（応用）	レベル3	L1｜現場に出せる	仕様・設計・タスクをAIと作る	requirements/design/tasksをAI協働で作り抜けを詰める		【応用】SDD
90	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	タスク分解と段階実装（検証ゲート）	小さく分け、各段階で検証を挟んで実装させる		【応用】SDD
91	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	受け入れ基準とAIの自己検証	受け入れ基準を定義しAIに自己検証させる		【応用】SDD
92	AIエンジニアリング（応用）	レベル3	L1｜現場に出せる	エージェントのループ設計	計画→実行→観察→修正のループを設計する		【応用】エージェント
93	AIエンジニアリング（応用）	レベル3	L1｜現場に出せる	自律度の制御（承認・権限・サンドボックス）	危険な操作を承認制・サンドボックスで安全運用		【応用】エージェント
94	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	サブエージェント／マルチエージェント	指揮役＋作業役など役割を分けて連携させる		【応用】エージェント
95	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	並列エージェント運用（worktree等）	複数タスクを並行で進め、競合を避けて統合		【応用】エージェント
96	AIエンジニアリング（応用）	レベル3	L1｜現場に出せる	コンテキストエンジニアリング	何を読ませ何を削るかを設計し精度とコストを両立		【応用】コンテキスト
97	AIエンジニアリング（応用）	レベル3	L1｜現場に出せる	リポジトリのAI向け整備	CLAUDE.md/AGENTS.md・規約・例で土台を作る		【応用】コンテキスト
98	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	コードベース検索・インデックス（コードRAG）	大きなコードを検索し必要箇所だけ渡す		【応用】コンテキスト
99	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	MCPでツール・データに接続	MCPで外部ツール/データにAIをつなぐ		【応用】拡張
100	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	カスタムコマンド／スキルの自作	頻出手順を再利用できる形にする		【応用】拡張
101	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	フック（hooks）で自動化	整形・テスト・ガードを自動で挟む		【応用】拡張
102	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	再利用可能なワークフロー化	使い方を社内標準の型に落とす		【応用】標準化
103	AIエンジニアリング（応用）	レベル3	L1｜現場に出せる	高度なプロンプト技法	few-shot・思考の連鎖・自己批判・役割分担		【応用】プロンプト
104	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	プロンプトの管理・バージョン管理	プロンプトをコードのように管理する		【応用】プロンプト
105	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	AI出力の評価（evals）・回帰テスト	評価セットで測り回帰を検知する		【応用】品質
106	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	ガードレール・安全対策	ハルシネーション/危険出力を防ぐ		【応用】品質
107	AIエンジニアリング（応用）	レベル3	L2｜中堅コンサル	コスト・トークン最適化（応用）	キャッシュ・モデル選択・分割で削減		【応用】品質
108	AIエンジニアリング（応用）	レベル4	L3｜ベイカレント級	LLMアプリ開発	プロンプト設計＋評価＋ガードレール込みで実装		【応用】製品化／ベイカレント級
109	AIエンジニアリング（応用）	レベル4	L3｜ベイカレント級	RAG（検索拡張生成）の実装	自前データを検索してLLMに渡す		【応用】製品化／ベイカレント級
110	AIエンジニアリング（応用）	レベル4	L3｜ベイカレント級	ツール使用（function calling）の組み込み	LLMに外部操作をさせる機能を組み込む		【応用】製品化／ベイカレント級
111	AIエンジニアリング（応用）	レベル4	L3｜ベイカレント級	AI機能の運用（監視・ログ・改善）	本番のAI機能を監視・評価で改善し続ける		【応用】製品化／ベイカレント級
112	AI活用・仕事術	横断	L1｜現場に出せる	音声入力	声で入力して作業を速める。AIへの入力手段として使う		技術力でなく仕事の進め方
113	AI活用・仕事術	横断	L1｜現場に出せる	長い文章を読む力	AIが返す長い文章を、速く正確に読み切る		L0とつながっている
114	AI活用・仕事術	横断	L1｜現場に出せる	画面・作業環境	複数の画面などで、見られる情報量と同時作業のしやすさを確保		作業環境
