pjX｜学習項目詳細（学び方）											
											
No	ジャンル	到達 レベル	項目	学習目標	学習ステップ（順番）	教材（読む／見る）	演習（やってみる・問題数）	合格基準	想定学習 時間(h)	評価方法	備考
15	ビジネス	L2	ファシリテーション	アジェンダ設計と発散/収束で、会議を結論まで運べる	①会議の目的/ゴール → ②アジェンダ設計 → ③発散(意見を出す) → ④収束(まとめる) → ⑤決定と宿題を残す	ファシリテーションの解説、アジェンダ/議事のサンプル	アジェンダを作り模擬会議を進行、結論と議事録を出す2回				
16	ビジネス	L1	期待値調整	できる/できない/前提を明示し、相手とすり合わせられる	①期待値ギャップの原因 → ②前提の言語化 → ③代替案の出し方 → ④断り方/伝え方の型 → ⑤合意の確認	期待値調整・前提合意の解説、言い回し集	無理な依頼に前提＋代替案を添えて返す文を5通				
17	ビジネス	L1	議事録	決定事項/宿題/論点に分け、事実と解釈を分けて正確に残せる	①議事録の型(決定/TODO/論点/保留) → ②良い議事録を読む → ③メモから議事録化 → ④事実と解釈の分離を点検 → ⑤宛先に合わせて要約	議事録のテンプレ・良い例	模擬会議のメモから議事録を3本作成				
18	ビジネス	L1	資料作成（スライド）	1スライド1メッセージ・結論先出しで、伝わるスライドを作れる	①スライドの型(メッセージ→根拠) → ②良い/悪い比較 → ③メッセージから1枚作る → ④図解/レイアウトの基本 → ⑤通しのストーリー	スライド作成の解説、良いスライド例	主張を1スライド1メッセージで5枚／3枚構成の短い資料を1本				
19	ビジネス	L1	文章作成	簡潔で誤解のないビジネス文(メール/チャット)を書ける	①メール/チャットの型 → ②件名/結論先出し → ③依頼/お礼/お詫び/相談の型 → ④推敲(冗長/曖昧を削る)	ビジネス文/メールの型と例	依頼・お礼・お詫び・相談・催促のメールを各1通(計5通)書き推敲				
20	ビジネス	L1	プレゼン	相手の理解度に合わせて構成し、伝え直せる	①話の構成(結論→根拠→具体) → ②相手に合わせる(専門/非専門) → ③話し方/間 → ④想定問答 → ⑤模擬プレゼン	プレゼン構成の解説、プレゼン動画	同じ内容を専門家向け/初心者向けに2通り＋想定問答を作る				
21	ビジネス	L2	プロジェクト管理	WBS・スケジュール・進捗・課題/リスクを管理できる	①ゴール/スコープ → ②WBS(作業分解) → ③スケジュール/担当 → ④進捗管理 → ⑤課題・リスク管理	PM基礎・WBS/課題管理表の解説とサンプル	模擬案件のWBS・スケジュール・課題/リスク表を一式作る				
22	ビジネス	L1	タスク・論点の管理	未解決の論点を常に把握し、抜け漏れなく回せる	①論点管理表(オープン/クローズ) → ②優先度付け → ③更新の習慣 → ④報告への接続	論点/課題管理表のサンプル	進行中タスクの論点管理表を作り1週間毎日更新				
23	ビジネス	L2	工数見積	規模を分解して見積もり、根拠を示せる	①見積りの考え方(分解/類推/三点) → ②機能を分解 → ③各々を見積もる → ④バッファ/前提を明示 → ⑤実績と比べて補正	工数見積の解説、見積り表の例	機能を分解して見積もる2案件／前提と根拠を添える				
24	ビジネス	L1	素早いたたき台	完璧を待たず、制限時間で叩き台を出せる	①「まず60点」の意義 → ②全体を粗く埋める → ③早くレビューに出す → ④フィードバックで磨く	素早い初稿/プロトタイピングの考え方	制限時間(例30分)で課題の初稿を出す3回				
25	ビジネス	L2	業界・業務の理解	事業構造・商流・収益源・主要KPIを理解しまとめられる	①業界研究の型 → ②事業構造/商流を調べる → ③収益源を特定 → ④主要KPI → ⑤1枚にまとめる	業界研究/ビジネスモデルの解説、IR/業界資料	指定業界の事業構造・商流・KPIを1枚にまとめる2業界				
26	ビジネス	L2	投資の感覚	費用対効果/ROIで施策を語り、経営層と話せる	①ROI/費用対効果の考え方 → ②コスト/効果の見積り → ③投資判断の基準 → ④ROIで提案	ROI/費用対効果の解説、投資判断の例	施策のコストと効果を見積もりROIで提案文を2本				
27	ビジネス	L2	理念・戦略への接続	打ち手を顧客の理念・戦略に結びつけて意味づけできる	①MVV/戦略の読み解き → ②施策と戦略の整合を点検 → ③理念に紐づけて説明 → ④ずれを指摘	MVV/戦略の解説、企業のMVV例	ある施策を顧客の理念・戦略に結びつけて説明2ケース				
28	ビジネス	L1	当事者意識	顧客の課題を自分事として捉え、主体的に動ける	①当事者意識の事例 → ②「自分ならどう動くか」を考える → ③日々の振り返りで定着	当事者意識/オーナーシップの事例・解説	ケースで「自分ならどう動くか」を書く3題／週次の振り返り				
29	ビジネス	L1	やり切る力	難局でも結論まで持っていける	①完遂の事例 → ②小さな完遂を積む → ③詰まった時の打開法	完遂/GRITの事例・解説	期限内に必ず完了させる小課題を毎週1つ反復				
30	ビジネス	L1	知的誠実さ	ごまかさず、不都合な事実も建設的に伝えられる	①良い/悪い報告対応の比較 → ②悪い知らせの伝え方の型 → ③練習	誠実な報告の事例・解説	悪い知らせを正直かつ建設的に伝える文を3通				
31	ビジネス	L1	顧客第一	時間あたりの価値を意識し、顧客起点で動ける	①プロ意識/単価の考え方 → ②顧客にとっての価値で考える → ③自分の作業を価値で振り返る	プロ意識・顧客価値の解説	自分の作業を「顧客にとっての価値」で言語化3つ				
32	要件定義・プロダクト設計	L1	業務フローの理解	仕事の流れを理解する	①業務フローの読み方 → ②既存フロー図を読む → ③ヒアリングから流れを把握	業務フロー/BPMNの基礎、フロー図の例	ヒアリング内容から誰が何をどの順でやるかを書き出す				
33	要件定義・プロダクト設計	L1	業務フローの図解	流れを図にして認識をそろえる	①フロー図の記法 → ②良い図を真似る → ③作図 → ④見せて直す	フローチャート/作図ツール、図の例	ある業務を図解しレビューで修正				
34	要件定義・プロダクト設計	L1	要求の整理	ばらばらな要望を整理する	①集め方/分類 → ②要望リストを分類 → ③重複・矛盾を整理	要求整理の解説、要望リストの例	雑多な要望メモを分類・整理して一覧化				
35	要件定義・プロダクト設計	L2	価値ある課題への昇華	要望を価値ある課題に	①要望と課題の違い → ②なぜ深掘り → ③価値に接続	課題設定/深掘りの解説、事例	表面的な要望を価値につながる課題文に書き換える				
36	要件定義・プロダクト設計	L2	要件定義	課題を満たすべき条件に	①要件(機能/非機能)の書き方 → ②要件定義書の例 → ③課題から要件を起こす	要件定義の解説、テンプレ	ある課題に対する要件一覧を作る				
37	要件定義・プロダクト設計	L2	仕様への落とし込み	要件を作れる形に具体化	①仕様(画面/データ/処理)の書き方 → ②仕様書例 → ③要件から仕様を書く	仕様書の書き方・例	要件を画面/データ/処理の仕様に具体化				
38	要件定義・プロダクト設計	L2	開発計画の立案	進め方・順番・段取りを計画	①計画の立て方 → ②計画例 → ③仕様から計画を作る	開発計画/スケジュールの解説と例	仕様をもとに工程・順番・マイルストーンを計画				
39	エンジニア	L1	基本情報（IT基礎）	ネットワーク・OS・DB・セキュリティ等のIT基礎を広く浅く説明できる	①コンピュータ/OSの基礎 → ②ネットワーク(IP/HTTP/DNS) → ③DBの基礎 → ④セキュリティの基礎 → ⑤データ構造の基礎 → ⑥分野別に過去問	基本情報技術者の参考書/講座、分野別まとめ	分野別の過去問を各分野20問程度／苦手分野を重点反復				
40	エンジニア	L1	開発環境とコマンドライン	エディタ・ターミナルでコードを書いて実行できる	①エディタ(VSCode)導入 → ②言語の実行環境を入れる → ③ターミナル基本(cd/ls/mkdir/実行) → ④Hello Worldを実行 → ⑤スクリプトを保存して走らせる	環境構築の手順記事、VSCode入門、コマンド一覧	環境構築を完了／コマンド操作10問／簡単な出力スクリプト3本				【追加】基礎
41	エンジニア	L1	変数とデータ型	変数・代入と型(数値/文字列/真偽値/null)・型変換を扱える	①変数と代入 → ②基本型 → ③型変換(文字列⇄数値) → ④変数で簡単な計算	入門書の変数・型の章、型一覧の解説	型当て・型変換の小問10〜15問／入力値で計算する小プログラム3本				【追加】基礎
42	エンジニア	L1	演算子と式	四則・比較・論理・代入と優先順位を理解し式を組める	①四則と剰余 → ②比較演算子 → ③論理演算子(and/or/not) → ④優先順位とカッコ	演算子の解説、優先順位表	式の評価結果を答える15問／簡単な計算プログラム5本				【追加】基礎
43	エンジニア	L1	条件分岐	if/else・複数条件・ネスト・switch/三項で処理を分けられる	①真偽値と比較 → ②if/else → ③else ifで多分岐 → ④論理演算子で複合条件 → ⑤ネストと早期return → ⑥switch・三項	条件分岐の章、比較/論理演算子の解説、サンプル	偶奇・うるう年・成績・税率判定など10〜15問／FizzBuzz／ネスト整理5問				【追加】基礎
44	エンジニア	L1	繰り返し（ループ）	for/while・配列走査・break/continue・二重ループが書ける	①while → ②for → ③break/continue → ④配列を回す → ⑤二重ループ	ループの章、サンプルコード	合計・最大・カウント・九九など10〜15問／二重ループで図形・表5問				【追加】基礎
45	エンジニア	L1	配列・リスト	配列の作成/参照/追加/削除/走査と高階操作(map/filter)が使える	①基本操作 → ②走査 → ③追加/削除 → ④map/filter等	配列の章、配列メソッドの解説	配列操作の小問15問／リストを加工する小プログラム5本				【追加】基礎
46	エンジニア	L1	連想配列・オブジェクト	キーと値でデータを構造化し参照・更新・走査できる	①連想配列/オブジェクトの基本 → ②参照/更新/削除 → ③走査 → ④ネスト構造	オブジェクト/辞書の解説	辞書操作の小問10問／JSON風データを集計する小プログラム3本				【追加】基礎
47	エンジニア	L1	関数	関数定義・引数・戻り値・スコープを理解し処理を分割・再利用できる	①定義と呼び出し → ②引数と戻り値 → ③スコープ → ④処理を関数に分割 → ⑤簡単な再帰	関数の章、スコープの解説	関数を書く小問15問／長い処理を複数関数に分割するリファクタ3問				【追加】基礎
48	エンジニア	L1	文字列操作	連結・分割・検索・置換・整形・大小変換ができる	①基本操作(長さ/連結/部分取得) → ②検索/置換 → ③分割/結合 → ④整形(トリム/フォーマット)	文字列メソッドの解説	文字列加工の小問15問／入力を整形・検証する小プログラム3本				【追加】基礎
49	エンジニア	L1	例外・エラー処理	例外を理解しtry/catchで捕まえ、エラーメッセージを読める	①エラーの種類 → ②try/catch → ③例外を投げる → ④エラーメッセージの読み方	例外処理の解説、エラーメッセージ集	例外を捕まえる/投げる小問8問／メッセージから原因を特定5問				【追加】基礎
50	エンジニア	L1	CRUD	DBに対し作成・取得・更新・削除をSQLで書ける	①テーブル/行/列の概念 → ②SELECT(絞り込み/並べ替え) → ③INSERT → ④UPDATE → ⑤DELETE → ⑥条件・結合の初歩	SQL入門、サンプルDB	SELECT中心に20問／INSERT・UPDATE・DELETE各5問／簡単な結合5問				
51	エンジニア	L1	ソート（並べ替え）	代表的な並べ替えの仕組みを理解・実装し計算量を説明できる	①並べ替えとは → ②バブル実装 → ③選択/挿入 → ④計算量(O記法)の初歩 → ⑤標準ソート関数	アルゴリズム入門、計算量の解説	各ソートを自力実装3種／配列の並べ替え小問10問				
52	エンジニア	L1	言語ごとの特性	静的/動的型・実行方式の違いを理解し言語に依存しない見方ができる	①型システムの違い → ②実行方式の違い → ③用途別の特徴 → ④同じ処理を2言語で書く	言語比較の解説	同じ小機能をPHPと別言語で各1本／違いを書き出す				
53	エンジニア	L1	画面まわり・DBの基礎	フロント/サーバ/DBの役割とリクエスト〜レスポンスを理解しCRUD画面を作れる	①Web三層の役割 → ②HTTPリクエスト/レスポンス → ③入力→保存→表示の流れ → ④一覧/登録/編集/削除画面を作る	Web三層の入門、フレームワークのチュートリアル	一覧・登録・編集・削除ができる小アプリを1本作る				
54	エンジニア	L1	バージョン管理（Git）	add/commit/branch/merge/PRでチーム開発しコンフリクトを解消できる	①コミット履歴の概念 → ②add/commit → ③branch/checkout → ④merge → ⑤push/pull/PR → ⑥コンフリクト解消	Git入門、ブランチ運用(GitHub Flow)の解説	ブランチ→PR→マージを5回／わざとコンフリクトを起こして解消3回				【追加】
55	エンジニア	L1	既存コード・システムの読解	入口・全体構成・データの流れをたどり機能を把握できる	①読む順(README→入口→主要処理) → ②データの流れを追う → ③関数/クラスの責務を把握 → ④構成図に起こす	コードリーディングの解説、中規模サンプルリポジトリ	与えられた2リポジトリを読み、機能一覧と構成図を作る				【追加】 ／ 【前提・難度】基礎＋対象言語。未知コードの読解は負荷大。小規模→中規模の順で
56	エンジニア	L1	不具合の切り分け・調査（デバッグ）	再現→仮説→検証で原因を切り分け、ログ/デバッガで直せる	①再現手順を作る → ②仮説を立てる → ③ログ/print/デバッガで確認 → ④原因特定→修正→再発防止	デバッグ手法の解説、デバッガの使い方	バグ入りプログラムの原因を切り分けて修正10問(難易度別)				【追加】 ／ 【難度】単純な不具合はL1、複数箇所にまたがる調査はL2相当
57	エンジニア	L1	テスト／品質保証	単体テストを書き、境界値/異常系も含め仕様を検証できる	①テストの種類 → ②アサーション → ③正常系 → ④境界値/異常系 → ⑤テスト駆動の初歩	テスト入門、テストフレームワークの使い方	関数にテストを書く10問／境界値・異常系のテスト設計5問				
58	エンジニア	L1	レビュー	観点(正しさ/可読性/安全性/規約)で点検しAIコードの誤りを見抜く	①レビュー観点 → ②正しさ/可読性 → ③安全性/規約 → ④AI生成コードの典型的な誤り	コードレビュー観点の解説、誤りを含むコード例	誤り/危うさを含むコードをレビュー10本(うちAI生成5本)				
59	エンジニア	L1	既存ルールの順守	規約・運用ルールを理解し守れる。静的解析を使える	①規約の種類 → ②規約に沿って書く → ③Linter/Formatterを使う → ④違反を直す	コーディング規約例、Linter/Formatterの解説	規約違反コードを規約準拠に直す8問／Linterを通す				
60	エンジニア	L1	開発全体の肌感覚	企画→設計→実装→テスト→運用の流れと成果物を説明でき一周できる	①ライフサイクルを学ぶ → ②各工程の成果物 → ③小機能を企画〜運用まで一周	開発ライフサイクルの解説	小機能を企画〜運用まで通しで1本／各工程の成果物を残す				
61	エンジニア	L1	セキュリティ（考え方）	代表的な脅威(SQLi/XSS/認証不備等)と基本対策の考え方を説明できる	①代表的な脅威 → ②なぜ起きるか → ③基本対策 → ④危ういコードを指摘	安全なコーディング入門、OWASP入門	脆弱性を含むコード例の危険箇所を指摘8問				
62	エンジニア	L1	ハーネス	（要確認）	内容確定後に記載	—	—				意図を要確認
63	エンジニア	L1	AI開発	AIに書かせ、指示を調整し、出力を検証・修正して小機能を完成できる	①AI支援開発の進め方 → ②良い指示の出し方 → ③生成コードの検証 → ④反復して仕上げる	AIコーディングの解説、プロンプトの型	AIで小機能を3本実装し、各々動作確認・修正				【前提・難度】プログラミング基礎一式＋Git＋DB＋テスト。L1の総仕上げで実質いちばん重い。最初は極小機能から
64	エンジニア	L1	コーディング向けプロンプト	文脈・制約・期待する出力・例を与え、反復で狙ったコードを引き出せる	①プロンプトの型(役割＋文脈＋制約＋期待する出力＋例)を学ぶ → ②曖昧な指示と具体的な指示を比較 → ③制約(言語/ライブラリ/規約)を明示 → ④出力形式(差分/関数のみ等)を指定 → ⑤エラーや要望を貼って反復改善	コーディング向けプロンプトの解説、良い/悪いプロンプト例、プロンプトの型(役割/文脈/制約/出力/例)	同じ課題を曖昧/具体の指示で比較10題／要件→プロンプト化5題／エラーを貼って直させる反復3題				【追加】AI活用
65	エンジニア	L1	AIコーディングツールの使い分け	補完・チャット・エージェントの特性を理解し場面で使い分けられる	①補完(Copilot/Cursor)=書きながら → ②チャット=相談/設計/調査 → ③エージェント(Claude Code/Codex)=タスクを任せる → ④場面別の使い分けを整理	各ツールの特性比較、使い分けの解説	同じ開発タスクを補完/チャット/エージェントで試し、向き不向きを書き出す3題				【追加】AI活用
66	エンジニア	L1	AIエージェント開発（Claude Code・Codex 等）	タスクを自然言語で渡し、計画→編集→実行→差分確認→反復で開発できる	①タスクを渡す → ②計画を確認/修正 → ③差分(diff)をレビュー → ④テスト/実行で確認 → ⑤小さく区切って反復 → ⑥危険な操作は承認制にする	Claude Code/Codex等の使い方ガイド、エージェント開発の進め方	小機能をエージェントに実装させ差分レビューで仕上げる3本／大きめタスクを小さく分割して任せる1本				【追加】AI活用
67	エンジニア	L1	AIへのコンテキスト設計	規約・設計方針・参照ファイルをAIに与え、前提のずれを防げる	①AIが見る前提を整理 → ②規約/設計方針を文書化 → ③CLAUDE.md/AGENTS.md等のコンテキストファイルを用意 → ④参照すべきファイル/例を渡す → ⑤前提のずれを検知して直す	コンテキストファイル(CLAUDE.md/AGENTS.md)の書き方、規約の与え方の解説	あるリポジトリのコンテキストファイルを作る1本／規約に沿わせる指示を書く3題				【追加】AI活用
68	エンジニア	L2	仕様駆動でAIに実装させる	仕様・計画を先に固め、AIに段階的に実装・検証させられる	①要件→仕様を書く → ②実装計画(手順/順番)を立てる → ③1ステップずつAIに実装させる → ④各ステップでテスト/検証 → ⑤仕様との差分を点検	仕様駆動/計画駆動開発の解説、仕様→実装の例	仕様書からAIに段階実装させ、各段階で検証する小機能を1本				【追加】AI活用
69	エンジニア	L1	AIでのテスト・リファクタ・デバッグ	テスト生成・リファクタ・バグ調査をAIで進め、結果を検証できる	①テストをAIに書かせ→過不足を点検 → ②リファクタを依頼→差分を確認 → ③エラー/ログを貼ってバグ調査 → ④AIの提案を鵜呑みにせず検証	AIでのテスト/リファクタ/デバッグの解説	既存関数のテストをAIで生成し補強3本／重複コードをAIでリファクタ2本／バグをAIと切り分け修正3題				【追加】AI活用
70	エンジニア	L1	AI出力の検証	生成物を動作・テスト・仕様照合で確かめ、誤りや作り話を見抜ける	①必ず動かす(compile/run) → ②テストを通す → ③仕様/要件と照合 → ④存在しないAPI/誤った前提を疑う → ⑤根拠を確認する	AI出力の検証・hallucination対策の解説	AI生成コードを動作+テスト+仕様照合で検証5本／作り話(存在しない関数等)を見抜く5題				【追加】AI活用
71	エンジニア	L1	大規模言語モデル（LLM）	トークン/文脈/プロンプトを理解しAPIで簡単な機能を作れる	①LLMの仕組みの概観 → ②プロンプトの基本 → ③APIの呼び方 → ④出力の扱い	LLM/プロンプト入門、API利用ガイド	LLM APIで要約/分類等の機能を2本作る				
72	エンジニア	L1	AIの知識	AIの種類・用語・得意/不得意を説明できる	①分類/用語 → ②得意/不得意 → ③活用事例を調べる	AI概論	代表的な活用事例を5件調べてまとめる				
73	エンジニア	L2	自動化・エージェント	定型作業を自動化し、複数ステップを自律実行する設計ができる	①自動化対象を見極める → ②手順を分解 → ③スクリプト/エージェントで実装 → ④例外処理を入れる	自動化/エージェント設計の解説	定型作業を1つ自動化／複数ステップのエージェントを1本試作				
74	エンジニア	L1	AIのコスト管理	トークン/課金を理解しコストを見積もり・抑えられる	①トークン/課金を学ぶ → ②コスト見積り → ③抑える工夫(プロンプト/モデル選択/キャッシュ)	AI課金/トークンの解説	ある機能のトークン数とコストを概算／削減案を出す				
75	エンジニア	L2	API・外部サービス連携	REST/認証を理解し外部APIで取得・連携でき、エラーも扱える	①HTTP/RESTの基礎 → ②認証(APIキー/OAuth) → ③APIドキュメントの読み方 → ④実際に呼ぶ → ⑤エラー/レート制限の対応	REST/API連携入門、外部APIのドキュメント	外部APIを使う機能を2本作る(取得+連携)				【追加】
76	エンジニア	L2	データモデリング・DB設計	正規化・ER図を理解し要件から適切なテーブルを設計できる	①正規化(1〜3NF) → ②ER図 → ③主キー/外部キー/インデックス → ④要件からER図→テーブル定義	DB設計/正規化の解説、ER図の例	要件のER図とテーブル定義を作る2題／既存設計の問題点を指摘3問				【追加】 ／ 【前提】CRUD＋複数テーブルの経験
77	エンジニア	L2	システム設計（アーキテクチャ）	構成パターンを理解し要件から全体構成を設計・説明できる	①代表的な構成パターン → ②既存の構成図を読む → ③要件から構成を設計 → ④トレードオフを説明	アーキテクチャ設計の解説、構成図の例	要件のシステム構成図を作り、選択理由とトレードオフを書く2題				【追加】 ／ 【前提・難度】ひと通りの開発経験。『全体を自分で設計』は本来L2上位〜L3寄り。小規模構成から
78	エンジニア	L2	システム構成 × AI	AIをどこに置くか、コスト/精度/速度の釣り合いを設計できる	①AIと相性の良い構成 → ②事例を読む → ③AIを組み込む設計案を作る	AI時代の設計の解説、事例	AIを組み込む設計案を1つ作り構成と理由を説明				
79	エンジニア	L2	クラウド・デプロイ／運用	クラウドに公開し、ログ/監視を見ながら動かし続けられる	①クラウドの基本 → ②デプロイ手順 → ③環境変数/秘密情報 → ④ログ/監視 → ⑤簡単なCI/CD	クラウド/デプロイ入門	作ったアプリを公開／ログ確認／簡単な自動デプロイを設定				【追加】
80	エンジニア	L2	インフラ	サーバ/ネットワーク/コンテナの基礎を理解し環境を構築できる	①サーバ/ネットワークの基礎 → ②コンテナ(Docker)の基礎 → ③環境を構築	インフラ入門、コンテナ入門	Dockerで開発環境を構築／複数コンテナを連携1題				
81	エンジニア	L2	ひと通りの開発	認証・DB・画面を含む小サービスを設計から公開まで作れる	①要件→設計 → ②DB/API → ③画面 → ④認証 → ⑤テスト → ⑥公開	フルスタック開発の解説/チュートリアル	認証付きの小サービス(ToDo/メモ等)を設計から公開まで1本				
82	エンジニア	L2	デザインのしくみ	デザインシステム/共通部品の考え方を理解し部品を扱える	①デザインシステムの考え方 → ②既存のしくみ(部品/トークン)を読む → ③共通部品を作る	デザインシステム入門	共通部品(ボタン/入力欄等)の一覧を作る／既存UIを部品化1題				
83	エンジニア	L3	DDD × AI	ユビキタス言語/境界づけ等の考え方を説明し、ドメインを言語化できる	①DDDの基礎概念 → ②事例を読む → ③小題材でドメインを言語化	DDD入門	小題材でドメインモデルを言語化(実装不要)1題				ベイカレント級 ／ 【要統一】達成度は『実装水準で適用』だが本項は『考え方』止まり。水準を揃える必要
84	エンジニア	L3	非機能要件（性能・安全・可用性）	性能/可用性/安全/拡張性を要件として洗い出し設計に反映できる	①非機能要件の種類 → ②要件化の例 → ③あるシステムで洗い出す	非機能要件の解説	あるシステムの非機能要件を洗い出し設計反映を書く1題				【追加】ベイカレント級 ／ 【前提・難度】システム設計の経験。要件への落とし込みが難所
85	エンジニア	L3	セキュリティ設計・実装	脅威モデリングで脅威を洗い出し、対策を設計・実装できる	①脅威モデリング → ②対策の設計 → ③実装(認証/入力検証/暗号化等)	セキュア設計の解説	ある機能の脅威を洗い出し対策を実装1題				【追加】ベイカレント級
86	エンジニア	L3	大規模・複雑なシステムの読解・改善	大規模/複雑なコードを読み解き設計上の問題を見つけ改善提案できる	①大規模コードの読み方 → ②問題箇所の特定 → ③改善提案/リファクタ案	リファクタリング/設計改善の解説	複雑なコードを読み改善案を提案1〜2題				【追加】ベイカレント級
87	エンジニア	L1	最新技術のキャッチアップ	情報源を決め定期的に追って要点を残す習慣をつくる	①信頼できる情報源を選ぶ → ②週次で追う → ③要点メモ → ④チームに共有	技術ニュース/公式ブログ	週次で要点メモを残す(習慣化)				
88	AIエンジニアリング（応用）	L1	SDD（仕様駆動開発）の全体像	仕様→設計→タスク→実装→検証の流れ(SDD)を理解しAIと回せる	①SDDの考え方(コード前に仕様) → ②requirements/design/tasksの3点 → ③実装→検証のループ → ④cc-sdd/Kiro等のツールの型を知る	SDD/仕様駆動開発の解説、cc-sdd・Kiro等のワークフロー例	小機能をSDDの流れ(仕様→設計→タスク→実装→検証)で1本通す				【応用】SDD
89	AIエンジニアリング（応用）	L1	仕様・設計・タスクをAIと作る	requirements.md/design.md/tasks.mdをAIと作り抜けを詰められる	requirements.md/design.md/tasks.mdをAIと作り抜けを詰められる	仕様・設計・タスクのテンプレ、AI協働の作り方	1機能のrequirements/design/tasksを作り、レビューで詰める				【応用】SDD
